OOMP Parts -- CSV, 2016-06-14
OOMP ID,Name,Type,Size/Package,Color/Material,Description/Value,Index/Rating,SEEED OPL ID,Manufacturer 1,Man 1 P/N,Manufacturer 2,Man 2 P/N,Distributor 1,Dist 1 P/N,Distributor 2,Dist 2 P/N,Datasheet,
"HEAD-I01-X-08PI-01","2.54 mm 8 Pin Header","Header","2.54 mm","","8 Pin","",320020080 ,,,,,,,,,https://github.com/oomlout/oomlout-OOMP/raw/master/parts/HEAD-I01-X-08PI-01/HEAD-I01-X-08PI-01-datasheet.pdf,
"HEAD-I01-X-10PI-01","2.54 mm 10 Pin Header","Header","2.54 mm","","10 Pin","",,,,,,,,,,https://github.com/oomlout/oomlout-OOMP/raw/master/parts/HEAD-I01-X-10PI-01/HEAD-I01-X-10PI-01-datasheet.pdf,
"HEAD-I01-X-12PI-01","2.54 mm 12 Pin Header","Header","2.54 mm","","12 Pin","",,,,,,,,,,https://github.com/oomlout/oomlout-OOMP/raw/master/parts/HEAD-I01-X-12PI-01/HEAD-I01-X-12PI-01-datasheet.pdf,
"HEAD-I01-X-14PI-01","2.54 mm 14 Pin Header","Header","2.54 mm","","14 Pin","",,,,,,,,,,https://github.com/oomlout/oomlout-OOMP/raw/master/parts/HEAD-I01-X-14PI-01/HEAD-I01-X-14PI-01-datasheet.pdf,
"HEAD-I01-X-16PI-01","2.54 mm 16 Pin Header","Header","2.54 mm","","16 Pin","",320020034 ,,,,,,,,,https://github.com/oomlout/oomlout-OOMP/raw/master/parts/HEAD-I01-X-16PI-01/HEAD-I01-X-16PI-01-datasheet.pdf,
"HEAD-I01-X-18PI-01","2.54 mm 18 Pin Header","Header","2.54 mm","","18 Pin","",,,,,,,,,,https://github.com/oomlout/oomlout-OOMP/raw/master/parts/HEAD-I01-X-18PI-01/HEAD-I01-X-18PI-01-datasheet.pdf,
"HEAD-I01-X-20PI-01","2.54 mm 20 Pin Header","Header","2.54 mm","","20 Pin","",,,,,,,,,,https://github.com/oomlout/oomlout-OOMP/raw/master/parts/HEAD-I01-X-20PI-01/HEAD-I01-X-20PI-01-datasheet.pdf,
"HEAD-I01-X-2X02PI-01","2.54 mm 4 Pin (2x2) Header","Header","2.54 mm","","4 Pin (2x2)","",,TruConnect,22-0525,,,Farnell,1824421,Mouser,649-67996-104HLF,https://github.com/oomlout/oomlout-OOMP/raw/master/parts/HEAD-I01-X-2X02PI-01/HEAD-I01-X-2X02PI-01-datasheet.pdf,
"HEAD-I01-X-2X03PI-01","2.54 mm 6 Pin (2x3) Header","Header","2.54 mm","","6 Pin (2x3)","",320020077 ,,,,,,,,,https://github.com/oomlout/oomlout-OOMP/raw/master/parts/HEAD-I01-X-2X03PI-01/HEAD-I01-X-2X03PI-01-datasheet.pdf,
"HEAD-I01-X-36PI-01","2.54 mm 36 Pin Header","Header","2.54 mm","","36 Pin","",,,,,,,,,,https://github.com/oomlout/oomlout-OOMP/raw/master/parts/HEAD-I01-X-36PI-01/HEAD-I01-X-36PI-01-datasheet.pdf,
"HEAD-I01-X-40PI-01","2.54 mm 40 Pin Header","Header","2.54 mm","","40 Pin","",320020010 ,,,,,,,,,https://github.com/oomlout/oomlout-OOMP/raw/master/parts/HEAD-I01-X-40PI-01/HEAD-I01-X-40PI-01-datasheet.pdf,
"HEAD-I01-Y-2X03PI-01","2.54 mm 6 Pin (2x3) Yellow Header","Header","2.54 mm","Yellow","6 Pin (2x3)","",320020027 ,,,,,,,,,https://github.com/oomlout/oomlout-OOMP/raw/master/parts/HEAD-I01-Y-2X03PI-01/HEAD-I01-Y-2X03PI-01-datasheet.pdf,
"HEAF-02-L-10PI-01","2 mm 10 Pin Blue Female Header","Female Header","2 mm","Blue","10 Pin","",,,,,,,,,,https://github.com/oomlout/oomlout-OOMP/raw/master/parts/HEAF-02-L-10PI-01/HEAF-02-L-10PI-01-datasheet.pdf,
"HEAF-02-W-10PI-01","2 mm 10 Pin White Female Header","Female Header","2 mm","White","10 Pin","",320030020 ,,,,,,,,,https://github.com/oomlout/oomlout-OOMP/raw/master/parts/HEAF-02-W-10PI-01/HEAF-02-W-10PI-01-datasheet.pdf,
"HEAF-02-X-10PI-01","2 mm 10 Pin Female Header","Female Header","2 mm","","10 Pin","",320030009 ,,,,,,,,,https://github.com/oomlout/oomlout-OOMP/raw/master/parts/HEAF-02-X-10PI-01/HEAF-02-X-10PI-01-datasheet.pdf,
"HEAF-02-X-10PI-SM","2 mm 10 Pin Female Header (SMD)","Female Header","2 mm","","10 Pin","(SMD)",320030097 ,,,,,,,,,https://github.com/oomlout/oomlout-OOMP/raw/master/parts/HEAF-02-X-10PI-SM/HEAF-02-X-10PI-SM-datasheet.pdf,
"HEAF-I01-W-06PI-01","2.54 mm 6 Pin White Female Header","Female Header","2.54 mm","White","6 Pin","",,,,,,,,,,https://github.com/oomlout/oomlout-OOMP/raw/master/parts/HEAF-I01-W-06PI-01/HEAF-I01-W-06PI-01-datasheet.pdf,
"HEAF-I01-W-08PI-01","2.54 mm 8 Pin White Female Header","Female Header","2.54 mm","White","8 Pin","",,,,,,,,,,https://github.com/oomlout/oomlout-OOMP/raw/master/parts/HEAF-I01-W-08PI-01/HEAF-I01-W-08PI-01-datasheet.pdf,
"HEAF-I01-X-02PI-RO","2.54 mm 2 Pin Female Header (Round)","Female Header","2.54 mm","","2 Pin","(Round)",320030050 ,,,,,,,,,https://github.com/oomlout/oomlout-OOMP/raw/master/parts/HEAF-I01-X-02PI-RO/HEAF-I01-X-02PI-RO-datasheet.pdf,
"HEAF-I01-X-04PI-01","2.54 mm 4 Pin Female Header","Female Header","2.54 mm","","4 Pin","",320030017 ,,,,,,,,,https://github.com/oomlout/oomlout-OOMP/raw/master/parts/HEAF-I01-X-04PI-01/HEAF-I01-X-04PI-01-datasheet.pdf,
"HEAF-I01-X-06PI-01","2.54 mm 6 Pin Female Header","Female Header","2.54 mm","","6 Pin","",320030060 ,,,,,,,,,https://github.com/oomlout/oomlout-OOMP/raw/master/parts/HEAF-I01-X-06PI-01/HEAF-I01-X-06PI-01-datasheet.pdf,
"HEAF-I01-X-08PI-01","2.54 mm 8 Pin Female Header","Female Header","2.54 mm","","8 Pin","",320030061 ,,,,,,,,,https://github.com/oomlout/oomlout-OOMP/raw/master/parts/HEAF-I01-X-08PI-01/HEAF-I01-X-08PI-01-datasheet.pdf,
"HEAF-I01-Y-08PI-01","2.54 mm 8 Pin Yellow Female Header","Female Header","2.54 mm","Yellow","8 Pin","",320030065 ,,,,,SEEED,320030065,,,https://github.com/oomlout/oomlout-OOMP/raw/master/parts/HEAF-I01-Y-08PI-01/HEAF-I01-Y-08PI-01-datasheet.pdf,
"HEAF-I01-X-10PI-01","2.54 mm 10 Pin Female Header","Female Header","2.54 mm","","10 Pin","",,Sullins Connector Solutions,PPTC101LFBN-RC,Multicomp,2212S-10SG-85,Farnell,1593464,Rapid Electronics,19-0085,https://github.com/oomlout/oomlout-OOMP/raw/master/parts/HEAF-I01-X-10PI-01/HEAF-I01-X-10PI-01-datasheet.pdf,
"HEAF-I01-X-2X04PI-01","2.54 mm 8 Pin (2x4) Female Header","Female Header","2.54 mm","","8 Pin (2x4)","",320030087 ,,,,,,,,,https://github.com/oomlout/oomlout-OOMP/raw/master/parts/HEAF-I01-X-2X04PI-01/HEAF-I01-X-2X04PI-01-datasheet.pdf,
"HEAF-I01-Y-06PI-01","2.54 mm 6 Pin Yellow Female Header","Female Header","2.54 mm","Yellow","6 Pin","",320030019 ,,,,,,,,,https://github.com/oomlout/oomlout-OOMP/raw/master/parts/HEAF-I01-Y-06PI-01/HEAF-I01-Y-06PI-01-datasheet.pdf,
"HEAF-I01-Y-10PI-01","2.54 mm 10 Pin Yellow Female Header","Female Header","2.54 mm","Yellow","10 Pin","",320030059 ,,,,,SEEED,320030059,,,https://github.com/oomlout/oomlout-OOMP/raw/master/parts/HEAF-I01-Y-10PI-01/HEAF-I01-Y-10PI-01-datasheet.pdf,
"HEAL-I01-X-03PI-01","2.54 mm 3 Pin Header (Long)","Header (Long)","2.54 mm","","3 Pin","",,,,,,,,,,https://github.com/oomlout/oomlout-OOMP/raw/master/parts/HEAL-I01-X-03PI-01/HEAL-I01-X-03PI-01-datasheet.pdf,
"HEAL-I01-X-36PI-01","2.54 mm 36 Pin Header (Long)","Header (Long)","2.54 mm","","36 Pin","",,,,,,,,,,https://github.com/oomlout/oomlout-OOMP/raw/master/parts/HEAL-I01-X-36PI-01/HEAL-I01-X-36PI-01-datasheet.pdf,
"HEDS-35D-T-SMDS-4P","3.5 mm SMD Headphone Socket (4 Pin)","Headphone Socket","3.5 mm","","SMD","(4 Pin)",320040009 ,,,,,,,,,https://github.com/oomlout/oomlout-OOMP/raw/master/parts/HEDS-35D-T-SMDS-4P/HEDS-35D-T-SMDS-4P-datasheet.pdf,
"HEDS-35D-U-SMDS-4P","3.5 mm SMD Headphone Socket (4 Pin)","Headphone Socket","3.5 mm","","SMD","(4 Pin)",320040003 ,,,,,,,,,https://github.com/oomlout/oomlout-OOMP/raw/master/parts/HEDS-35D-U-SMDS-4P/HEDS-35D-U-SMDS-4P-datasheet.pdf,
"HEDS-35D-X-SMDS-01","3.5 mm SMD Headphone Socket","Headphone Socket","3.5 mm","","SMD","",320040007 ,,,,,,,,,https://github.com/oomlout/oomlout-OOMP/raw/master/parts/HEDS-35D-X-SMDS-01/HEDS-35D-X-SMDS-01-datasheet.pdf,
"HEDS-35D-X-SMDS-4P","3.5 mm SMD Headphone Socket (4 Pin)","Headphone Socket","3.5 mm","","SMD","(4 Pin)",328030005 ,,,,,,,,,https://github.com/oomlout/oomlout-OOMP/raw/master/parts/HEDS-35D-X-SMDS-4P/HEDS-35D-X-SMDS-4P-datasheet.pdf,
"HELF-I01-L-06PI-01","2.54 mm 6 Pin Blue Female Header (Long)","Female Header (Long)","2.54 mm","Blue","6 Pin","",320030067 ,,,,,,,,,https://github.com/oomlout/oomlout-OOMP/raw/master/parts/HELF-I01-L-06PI-01/HELF-I01-L-06PI-01-datasheet.pdf,
"HELF-I01-L-08PI-01","2.54 mm 8 Pin Blue Female Header (Long)","Female Header (Long)","2.54 mm","Blue","8 Pin","",320030068 ,,,,,,,,,https://github.com/oomlout/oomlout-OOMP/raw/master/parts/HELF-I01-L-08PI-01/HELF-I01-L-08PI-01-datasheet.pdf,
"HELF-I01-L-10PI-01","2.54 mm 10 Pin Blue Female Header (Long)","Female Header (Long)","2.54 mm","Blue","10 Pin","",320030001 ,,,,,,,,,https://github.com/oomlout/oomlout-OOMP/raw/master/parts/HELF-I01-L-10PI-01/HELF-I01-L-10PI-01-datasheet.pdf,
"HELF-I01-L-2X03PI-01","2.54 mm 6 Pin (2x3) Blue Female Header (Long)","Female Header (Long)","2.54 mm","Blue","6 Pin (2x3)","",320030066 ,,,,,,,,,https://github.com/oomlout/oomlout-OOMP/raw/master/parts/HELF-I01-L-2X03PI-01/HELF-I01-L-2X03PI-01-datasheet.pdf,
"HELF-I01-X-06PI-01","2.54 mm 6 Pin Female Header (Long)","Female Header (Long)","2.54 mm","","6 Pin","",320030012 ,,,,,,,,,https://github.com/oomlout/oomlout-OOMP/raw/master/parts/HELF-I01-X-06PI-01/HELF-I01-X-06PI-01-datasheet.pdf,
"HELF-I01-X-08PI-01","2.54 mm 8 Pin Female Header (Long)","Female Header (Long)","2.54 mm","","8 Pin","",320030013 ,,,,,,,,,https://github.com/oomlout/oomlout-OOMP/raw/master/parts/HELF-I01-X-08PI-01/HELF-I01-X-08PI-01-datasheet.pdf,
"HELF-I01-X-10PI-01","2.54 mm 10 Pin Female Header (Long)","Female Header (Long)","2.54 mm","","10 Pin","",320030039 ,,,,,,,,,https://github.com/oomlout/oomlout-OOMP/raw/master/parts/HELF-I01-X-10PI-01/HELF-I01-X-10PI-01-datasheet.pdf,
"HESH-03-B-STAN-01","3 mm Black Heat Shrink","Heat Shrink","3 mm","Black","","",,,,,,,,,,https://github.com/oomlout/oomlout-OOMP/raw/master/parts/HESH-03-B-STAN-01/HESH-03-B-STAN-01-datasheet.pdf,
"HESH-03-E-STAN-01","3 mm Grey Heat Shrink","Heat Shrink","3 mm","Grey","","",,,,,,,,,,https://github.com/oomlout/oomlout-OOMP/raw/master/parts/HESH-03-E-STAN-01/HESH-03-E-STAN-01-datasheet.pdf,
"HESH-03-G-STAN-01","3 mm Green Heat Shrink","Heat Shrink","3 mm","Green","","",,,,,,,,,,https://github.com/oomlout/oomlout-OOMP/raw/master/parts/HESH-03-G-STAN-01/HESH-03-G-STAN-01-datasheet.pdf,
"HESH-03-L-STAN-01","3 mm Blue Heat Shrink","Heat Shrink","3 mm","Blue","","",,,,,,,,,,https://github.com/oomlout/oomlout-OOMP/raw/master/parts/HESH-03-L-STAN-01/HESH-03-L-STAN-01-datasheet.pdf,
"HESH-03-N-STAN-01","3 mm Brown Heat Shrink","Heat Shrink","3 mm","Brown","","",,,,,,,,,,https://github.com/oomlout/oomlout-OOMP/raw/master/parts/HESH-03-N-STAN-01/HESH-03-N-STAN-01-datasheet.pdf,
"HESH-03-O-STAN-01","3 mm Orange Heat Shrink","Heat Shrink","3 mm","Orange","","",,,,,,,,,,https://github.com/oomlout/oomlout-OOMP/raw/master/parts/HESH-03-O-STAN-01/HESH-03-O-STAN-01-datasheet.pdf,
"HESH-03-R-STAN-01","3 mm Red Heat Shrink","Heat Shrink","3 mm","Red","","",,,,,,,,,,https://github.com/oomlout/oomlout-OOMP/raw/master/parts/HESH-03-R-STAN-01/HESH-03-R-STAN-01-datasheet.pdf,
"HESH-03-V-STAN-01","3 mm Purple Heat Shrink","Heat Shrink","3 mm","Purple","","",,,,,,,,,,https://github.com/oomlout/oomlout-OOMP/raw/master/parts/HESH-03-V-STAN-01/HESH-03-V-STAN-01-datasheet.pdf,
"HESH-03-W-STAN-01","3 mm White Heat Shrink","Heat Shrink","3 mm","White","","",,,,,,,,,,https://github.com/oomlout/oomlout-OOMP/raw/master/parts/HESH-03-W-STAN-01/HESH-03-W-STAN-01-datasheet.pdf,
"HESH-03-Y-STAN-01","3 mm Yellow Heat Shrink","Heat Shrink","3 mm","Yellow","","",,,,,,,,,,https://github.com/oomlout/oomlout-OOMP/raw/master/parts/HESH-03-Y-STAN-01/HESH-03-Y-STAN-01-datasheet.pdf,
"HESH-06-B-STAN-01","6 mm Black Heat Shrink","Heat Shrink","6 mm","Black","","",,,,,,,,,,https://github.com/oomlout/oomlout-OOMP/raw/master/parts/HESH-06-B-STAN-01/HESH-06-B-STAN-01-datasheet.pdf,
"HESH-06-E-STAN-01","6 mm Grey Heat Shrink","Heat Shrink","6 mm","Grey","","",,,,,,,,,,https://github.com/oomlout/oomlout-OOMP/raw/master/parts/HESH-06-E-STAN-01/HESH-06-E-STAN-01-datasheet.pdf,
"HESH-06-G-STAN-01","6 mm Green Heat Shrink","Heat Shrink","6 mm","Green","","",,,,,,,,,,https://github.com/oomlout/oomlout-OOMP/raw/master/parts/HESH-06-G-STAN-01/HESH-06-G-STAN-01-datasheet.pdf,
"HESH-06-L-STAN-01","6 mm Blue Heat Shrink","Heat Shrink","6 mm","Blue","","",,,,,,,,,,https://github.com/oomlout/oomlout-OOMP/raw/master/parts/HESH-06-L-STAN-01/HESH-06-L-STAN-01-datasheet.pdf,
"HESH-06-N-STAN-01","6 mm Brown Heat Shrink","Heat Shrink","6 mm","Brown","","",,,,,,,,,,https://github.com/oomlout/oomlout-OOMP/raw/master/parts/HESH-06-N-STAN-01/HESH-06-N-STAN-01-datasheet.pdf,
"HESH-06-O-STAN-01","6 mm Orange Heat Shrink","Heat Shrink","6 mm","Orange","","",,,,,,,,,,https://github.com/oomlout/oomlout-OOMP/raw/master/parts/HESH-06-O-STAN-01/HESH-06-O-STAN-01-datasheet.pdf,
"HESH-06-R-STAN-01","6 mm Red Heat Shrink","Heat Shrink","6 mm","Red","","",,,,,,,,,,https://github.com/oomlout/oomlout-OOMP/raw/master/parts/HESH-06-R-STAN-01/HESH-06-R-STAN-01-datasheet.pdf,
"HESH-06-V-STAN-01","6 mm Purple Heat Shrink","Heat Shrink","6 mm","Purple","","",,,,,,,,,,https://github.com/oomlout/oomlout-OOMP/raw/master/parts/HESH-06-V-STAN-01/HESH-06-V-STAN-01-datasheet.pdf,
"HESH-06-W-STAN-01","6 mm White Heat Shrink","Heat Shrink","6 mm","White","","",,,,,,,,,,https://github.com/oomlout/oomlout-OOMP/raw/master/parts/HESH-06-W-STAN-01/HESH-06-W-STAN-01-datasheet.pdf,
"HESH-06-Y-STAN-01","6 mm Yellow Heat Shrink","Heat Shrink","6 mm","Yellow","","",,,,,,,,,,https://github.com/oomlout/oomlout-OOMP/raw/master/parts/HESH-06-Y-STAN-01/HESH-06-Y-STAN-01-datasheet.pdf,
"HESH-15D-B-STAN-01","1.5 mm Black Heat Shrink","Heat Shrink","1.5 mm","Black","","",,,,,,,,,,https://github.com/oomlout/oomlout-OOMP/raw/master/parts/HESH-15D-B-STAN-01/HESH-15D-B-STAN-01-datasheet.pdf,
"HESH-15D-E-STAN-01","1.5 mm Grey Heat Shrink","Heat Shrink","1.5 mm","Grey","","",,,,,,,,,,https://github.com/oomlout/oomlout-OOMP/raw/master/parts/HESH-15D-E-STAN-01/HESH-15D-E-STAN-01-datasheet.pdf,
"HESH-15D-G-STAN-01","1.5 mm Green Heat Shrink","Heat Shrink","1.5 mm","Green","","",,,,,,,,,,https://github.com/oomlout/oomlout-OOMP/raw/master/parts/HESH-15D-G-STAN-01/HESH-15D-G-STAN-01-datasheet.pdf,
"HESH-15D-L-STAN-01","1.5 mm Blue Heat Shrink","Heat Shrink","1.5 mm","Blue","","",,,,,,,,,,https://github.com/oomlout/oomlout-OOMP/raw/master/parts/HESH-15D-L-STAN-01/HESH-15D-L-STAN-01-datasheet.pdf,
"HESH-15D-N-STAN-01","1.5 mm Brown Heat Shrink","Heat Shrink","1.5 mm","Brown","","",,,,,,,,,,https://github.com/oomlout/oomlout-OOMP/raw/master/parts/HESH-15D-N-STAN-01/HESH-15D-N-STAN-01-datasheet.pdf,
"HESH-15D-O-STAN-01","1.5 mm Orange Heat Shrink","Heat Shrink","1.5 mm","Orange","","",,,,,,,,,,https://github.com/oomlout/oomlout-OOMP/raw/master/parts/HESH-15D-O-STAN-01/HESH-15D-O-STAN-01-datasheet.pdf,
"HESH-15D-R-STAN-01","1.5 mm Red Heat Shrink","Heat Shrink","1.5 mm","Red","","",,,,,,,,,,https://github.com/oomlout/oomlout-OOMP/raw/master/parts/HESH-15D-R-STAN-01/HESH-15D-R-STAN-01-datasheet.pdf,
"HESH-15D-V-STAN-01","1.5 mm Purple Heat Shrink","Heat Shrink","1.5 mm","Purple","","",,,,,,,,,,https://github.com/oomlout/oomlout-OOMP/raw/master/parts/HESH-15D-V-STAN-01/HESH-15D-V-STAN-01-datasheet.pdf,
"HESH-15D-W-STAN-01","1.5 mm White Heat Shrink","Heat Shrink","1.5 mm","White","","",,,,,,,,,,https://github.com/oomlout/oomlout-OOMP/raw/master/parts/HESH-15D-W-STAN-01/HESH-15D-W-STAN-01-datasheet.pdf,
"HESH-15D-Y-STAN-01","1.5 mm Yellow Heat Shrink","Heat Shrink","1.5 mm","Yellow","","",,,,,,,,,,https://github.com/oomlout/oomlout-OOMP/raw/master/parts/HESH-15D-Y-STAN-01/HESH-15D-Y-STAN-01-datasheet.pdf,
"ICIC-DFN10-X-K7660-01","SMD (DFN-10) 3-Axis Accelerometer (MMA7660FCR1)","","SMD (DFN-10)","","3-Axis Accelerometer (MMA7660FCR1)","",314080009 ,,,,,Mouser,841-MMA7660FCR1,Farnell,2080493,https://github.com/oomlout/oomlout-OOMP/raw/master/parts/ICIC-DFN10-X-K7660-01/ICIC-DFN10-X-K7660-01-datasheet.pdf,
"ICIC-DFN8-X-KCN3065-01","SMD (DFN-8) Lithium Ion Battery Charger (CN3065)","","SMD (DFN-8)","","Lithium Ion Battery Charger (CN3065)","",310030101 ,,,,,,,,,https://github.com/oomlout/oomlout-OOMP/raw/master/parts/ICIC-DFN8-X-KCN3065-01/ICIC-DFN8-X-KCN3065-01-datasheet.pdf,
"ICIC-DI14-X-K1820-01","14 Pin DIP Voice Recorder (ISD1820P)","","14 Pin DIP","","Voice Recorder (ISD1820P)","",310060021 ,,,,,,,,,https://github.com/oomlout/oomlout-OOMP/raw/master/parts/ICIC-DI14-X-K1820-01/ICIC-DI14-X-K1820-01-datasheet.pdf,
"ICIC-DI16-X-K595-01","16 Pin DIP 74HC595 8-Bit Shift Register (Latching)","","16 Pin DIP","","74HC595 8-Bit Shift Register (Latching)","",,,,,,,,,,https://github.com/oomlout/oomlout-OOMP/raw/master/parts/ICIC-DI16-X-K595-01/ICIC-DI16-X-K595-01-datasheet.pdf,
"ICIC-DI18-X-K2803-01","18 Pin DIP ULN2803A Octal Transistor Array","","18 Pin DIP","","ULN2803A Octal Transistor Array","",,,,,,,,,,https://github.com/oomlout/oomlout-OOMP/raw/master/parts/ICIC-DI18-X-K2803-01/ICIC-DI18-X-K2803-01-datasheet.pdf,
"ICIC-DI18-X-KTM1636-01","18 Pin DIP 7 Segment Driver and Keypad Scanning (TM1636)","","18 Pin DIP","","7 Segment Driver and Keypad Scanning (TM1636)","",310040002 ,,,,,,,,,https://github.com/oomlout/oomlout-OOMP/raw/master/parts/ICIC-DI18-X-KTM1636-01/ICIC-DI18-X-KTM1636-01-datasheet.pdf,
"ICIC-DI28-X-K328-01","28 Pin DIP AtMega328P","","28 Pin DIP","","AtMega328P","",310010051 ,,,,,Farnell,1715487,Mouser,556-ATMEGA328P-PU,https://github.com/oomlout/oomlout-OOMP/raw/master/parts/ICIC-DI28-X-K328-01/ICIC-DI28-X-K328-01-datasheet.pdf,
"ICIC-DI28W-X-KLPC14-01","28 Pin DIP (0.6") DIP LPC1114 (Cortex M0)","","28 Pin DIP (0.6")","","LPC1114 (Cortex M0)","",310010024 ,,,,,,,,,https://github.com/oomlout/oomlout-OOMP/raw/master/parts/ICIC-DI28W-X-KLPC14-01/ICIC-DI28W-X-KLPC14-01-datasheet.pdf,
"ICIC-HQFN33-X-KLPC33-01","33 Pin SMD (Heatsink QFN) LPC11U35FHI33 (Cortex M0)","","33 Pin SMD (Heatsink QFN)","","LPC11U35FHI33 (Cortex M0)","",310010053 ,,,,,,,,,https://github.com/oomlout/oomlout-OOMP/raw/master/parts/ICIC-HQFN33-X-KLPC33-01/ICIC-HQFN33-X-KLPC33-01-datasheet.pdf,
"ICIC-LG14-X-K345-01","14 Pin SMD (LGA) Digital Accelerometer (ADXL345)","","14 Pin SMD (LGA)","","Digital Accelerometer (ADXL345)","",314080008 ,,,,,,,,,https://github.com/oomlout/oomlout-OOMP/raw/master/parts/ICIC-LG14-X-K345-01/ICIC-LG14-X-K345-01-datasheet.pdf,
"ICIC-PS20-X-KL298-A4","SMD (Power SO-20) Dual H-Bridge (L298) 4 A","","SMD (Power SO-20)","","Dual H-Bridge (L298)","4 A",310040018 ,,,,,,,,,https://github.com/oomlout/oomlout-OOMP/raw/master/parts/ICIC-PS20-X-KL298-A4/ICIC-PS20-X-KL298-A4-datasheet.pdf,
"ICIC-QFN16-X-K5883-01","16 Pin SMD (QFN) 3-Axis Digital Compass (HMC5883L)","","16 Pin SMD (QFN)","","3-Axis Digital Compass (HMC5883L)","",314040002 ,,,,,Farnell,1971743,SEEED Studio,314040002,https://github.com/oomlout/oomlout-OOMP/raw/master/parts/ICIC-QFN16-X-K5883-01/ICIC-QFN16-X-K5883-01-datasheet.pdf,
"ICIC-QFN24-X-K9250-01","24 Pin SMD (QFN) 9-Axis Inertial Measurement Unit (MPU-9250)","","24 Pin SMD (QFN)","","9-Axis Inertial Measurement Unit (MPU-9250)","",314990005 ,,,,,RS Electronics,883-7942,SEEED Studio,314990005,https://github.com/oomlout/oomlout-OOMP/raw/master/parts/ICIC-QFN24-X-K9250-01/ICIC-QFN24-X-K9250-01-datasheet.pdf,
"ICIC-QFN28-X-K4988-01","28 Pin SMD (QFN) Stepper Motor Driver (A4988)","","28 Pin SMD (QFN)","","Stepper Motor Driver (A4988)","",,,,,,Farnell,2057418,RS Electronics,724-8726,https://github.com/oomlout/oomlout-OOMP/raw/master/parts/ICIC-QFN28-X-K4988-01/ICIC-QFN28-X-K4988-01-datasheet.pdf,
"ICIC-QFN32-X-K168-01","32 Pin SMD (QFN) AtMega168P","","32 Pin SMD (QFN)","","AtMega168P","",310010072 ,,,,,Mouser,556-ATMEGA168PA-MU,Farnell,1748517,https://github.com/oomlout/oomlout-OOMP/raw/master/parts/ICIC-QFN32-X-K168-01/ICIC-QFN32-X-K168-01-datasheet.pdf,
"ICIC-QFN32-X-K16U2-01","32 Pin SMD (QFN) ATMega16U2","","32 Pin SMD (QFN)","","AtMega16U2","",310010018 ,,,,,Mouser,556-ATMEGA16U2-MU,SEEED,310010018,https://github.com/oomlout/oomlout-OOMP/raw/master/parts/ICIC-QFN32-X-K16U2-01/ICIC-QFN32-X-K16U2-01-datasheet.pdf,
"ICIC-QFN48-X-KRF822-01","48 Pin SMD (QFN) nRF51822 (Bluetooth MCU)","","48 Pin SMD (QFN)","","nRF51822 (Bluetooth MCU)","",310060026 ,,,,,,,,,https://github.com/oomlout/oomlout-OOMP/raw/master/parts/ICIC-QFN48-X-KRF822-01/ICIC-QFN48-X-KRF822-01-datasheet.pdf,
"ICIC-QFP100-X-K2560-01","100 Pin SMD (TQFP) AtMega2560","","100 Pin SMD (TQFP)","","AtMega2560","",310010006 ,,,,,,,,,https://github.com/oomlout/oomlout-OOMP/raw/master/parts/ICIC-QFP100-X-K2560-01/ICIC-QFP100-X-K2560-01-datasheet.pdf,
"ICIC-QFP100-X-KLPC17-01","100 Pin SMD (TQFP) LPC1768 (Cortex M3)","","100 Pin SMD (TQFP)","","LPC1768 (Cortex M3)","",,,,,,,,,,https://github.com/oomlout/oomlout-OOMP/raw/master/parts/ICIC-QFP100-X-KLPC17-01/ICIC-QFP100-X-KLPC17-01-datasheet.pdf,
"ICIC-QFP32-X-K8-01","32 Pin SMD (TQFP) AtMega8A","","32 Pin SMD (TQFP)","","AtMega8A","",310010023 ,,,,,,,,,https://github.com/oomlout/oomlout-OOMP/raw/master/parts/ICIC-QFP32-X-K8-01/ICIC-QFP32-X-K8-01-datasheet.pdf,
"ICIC-QFP44-X-K32U4-01","44 Pin SMD (TQFP) AtMega32U4","","44 Pin SMD (TQFP)","","AtMega32U4","",310010010 ,,,,,,,,,https://github.com/oomlout/oomlout-OOMP/raw/master/parts/ICIC-QFP44-X-K32U4-01/ICIC-QFP44-X-K32U4-01-datasheet.pdf,
"ICIC-QFP64-X-KLPC11-01","64 Pin SMD (TQFP) LPC11U24 (Cortex M0)","","64 Pin SMD (TQFP)","","LPC11U24 (Cortex M0)","",,,,,,,,,,https://github.com/oomlout/oomlout-OOMP/raw/master/parts/ICIC-QFP64-X-KLPC11-01/ICIC-QFP64-X-KLPC11-01-datasheet.pdf,
"ICIC-SC16-X-K2515-01","SMD (SOIC-16) CAN Controller SPI (MCP2515)","","16 Pin SMD (SOIC)","","CAN Controller SPI (MCP2515)","",310070025 ,,,,,,,,,https://github.com/oomlout/oomlout-OOMP/raw/master/parts/ICIC-SC16-X-K2515-01/ICIC-SC16-X-K2515-01-datasheet.pdf,
"ICIC-SC16-X-KM232-01","16 Pin SMD (SOIC) RS232 to TTL Converter (MAX232)","","16 Pin SMD (SOIC)","","RS232 to TTL Converter (MAX232)","",310060023 ,,,,,,,,,https://github.com/oomlout/oomlout-OOMP/raw/master/parts/ICIC-SC16-X-KM232-01/ICIC-SC16-X-KM232-01-datasheet.pdf,
